filename,transcript_nepali
20260115 102045_seg000.wav,नमस्ते।
20260115 102439_seg000.wav,नामस्कार। मेरो नाम सीता हो। मा तपाई को लागी कसरी सहयो करना सक्छू। धान्योबात। हम्रो कम्पनी ला शाम्पर्क करन भईकोमाण।
20260115 102439_seg001.wav,"माँ तपायलाए सही बेक्ति संगा जोर देछुआ। माँफ करनो होला, तपाय को काल तूटी यो जस्तो लाग्यो, फिरी संपर्क गरनो भईको मा धन्यवाद।"
20260115 103940_seg000.wav,"तुरीपाया तपाया तपाया नाम, थेगाना रशंपर को नम्बर दिनो होग। तपाया को खाता नम्बर, 4 9"
20260115 103940_seg001.wav,0216 की मैले तीक बनेको यो सेवा को लागी महिना को सुलका 1505
20260115 103940_seg002.wav,तीमा तपाई लाए अर्को पाछ मिनेट पर करना सकतू.
20260115 104039_seg000.wav,तपाई लाई कुन भीभाक संग पूरा गरना मन लाक्छा?
20260115 104039_seg001.wav,"तबाई ले हमी लाए कुन माध्यम बटा चिन्नू भईयो? सोशल मीरिया, टेलिवीजन वा सिफारीश्ट?"
20260115 104104_seg000.wav,मा तपाई को समस्या पूछ थेछु तपाई को इंटरनेट छली रहे कु छाहिना क्रिपाया मलाय थप बिस्टार मा बताईनो हो स्था
20260115 104104_seg001.wav,के तेक समय मा दिलिफरी भए न? इस समस्या को सामदान का लागी के मुझे तपाई लाई के ही चरन हरू बताउन सक्छु?
20260115 104104_seg002.wav,परसुरोमा क्रिपायाा आपनो राूटर बंदगरी। तीस सेकेन्त पछी पूनहा हा श्टार्ट करनो होस। हमी इसको लागी तोस्रो बिराइख़ण।
20260115 104225_seg000.wav,"ती तपाई ताहा छा, हमी ले भर्करे नया मोबाल अप ले आयेका छाओ, जस पर सभे सेवा अनलाइन मा पाउने हुँछा।"
20260115 104225_seg001.wav,अर्को महिना देखी हम्रो सभे जाका हरु सनिबार बंद हुने छन् क्रिपया यो जानकारी ध्यान दिनो होग।
20260115 104355_seg000.wav,मालाई अहीले नहीं यो ता ग्राहको कोल आयो उनलाई बिजुली को बिल्मा समस्या थीयो माले उनको खाता खोलेर रहेरे
20260115 104355_seg001.wav,पच्छी पट्टा लाग्यो कि उनको मीटर रिंगेंग घलत भईको थीयो. मैले उन्ही लाए नया रिंगेंग लिने प्रक्रिया बदाए.
20260115 104355_seg002.wav,और औरको घंटा मा समस्य समदान हुने दिन.
20260115 104446_seg000.wav,"आफनो काम को बारे मा दुइ तेखी तीन मिनेट छामा बताउनो होग। हामरा टीमले कसरी ग्राहा को समस्या अरू सामाधान गर्छा, हमी लाए कुन-कुन कुराइन ने?"
20260115 104542_seg000.wav,"नमसे, तभाई लाई कोस्तो चा? आजको माुसम निक्के राम्दो चा हुई नतो? माला एक कप चिया दिनो होसना?"
20260115 104542_seg001.wav,भोली हमें संगे घुमना जाने छों। नेपाल को संभीधान सपे नागरिकलाए समान अधिकार प्रदान गरेको छाँ।
20260115 104611_seg000.wav,आर्थिक बिकास का लागी ग्रिशी र परियोतन छेत्र को महतपून भुमिका हुन्छा। जल पिथ्युत आयोजना को निर्मान कारियर।
